ID,gender,age,maritalStatus,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,ID,weather,time,coupon,expiration,Y,ID,destination,passanger,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp
11263,Male,50plus,Widowed,Some college - no degree,Construction & Extraction,Less than $12500,never,never,less1,1~3,less1,11263,Sunny,2PM,Coffee House,1d,1,11263,No Urgent Place,Friend(s),0,0,0,1
20136,Female,26,Married partner,Some college - no degree,Office & Administrative Support,$75000 - $87499,never,never,1~3,4~8,less1,20136,Sunny,7AM,Bar,1d,0,20136,Work,Alone,1,0,1,0
14763,Female,50plus,Single,Bachelors degree,Retired,$37500 - $49999,never,never,less1,4~8,less1,14763,Sunny,7AM,Coffee House,1d,0,14763,Work,Alone,1,0,0,1
12612,Female,41,Married partner,Bachelors degree,Legal,$100000 or More,never,1~3,1~3,1~3,less1,12612,Sunny,10AM,Carry out & Take away,2h,0,12612,No Urgent Place,Kid(s),1,0,0,1
17850,Female,31,Married partner,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,gt8,4~8,less1,17850,Snowy,2PM,Coffee House,2h,0,17850,No Urgent Place,Partner,1,0,0,1
14214,Male,41,Married partner,Graduate degree (Masters or Doctorate),Computer & Mathematical,$37500 - $49999,less1,less1,gt8,gt8,4~8,14214,Sunny,7AM,Carry out & Take away,1d,1,14214,Work,Alone,1,1,0,1
14821,Female,31,Single,Bachelors degree,Community & Social Services,$50000 - $62499,4~8,1~3,1~3,1~3,less1,14821,Sunny,10PM,Carry out & Take away,1d,1,14821,Home,Alone,0,0,1,0
18046,Male,31,Single,Some college - no degree,Unemployed,$12500 - $24999,1~3,less1,4~8,less1,never,18046,Snowy,10PM,Carry out & Take away,1d,1,18046,No Urgent Place,Friend(s),1,0,0,1
21932,Female,31,Married partner,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,gt8,4~8,less1,21932,Sunny,6PM,Restaurant(<20),2h,1,21932,No Urgent Place,Friend(s),0,0,0,1
19417,Female,50plus,Divorced,Some college - no degree,Unemployed,$37500 - $49999,never,never,4~8,1~3,less1,19417,Sunny,10PM,Restaurant(20-50),1d,0,19417,Home,Alone,1,0,0,1
