ID,gender,age,maritalStatus,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50
19943,Female,21,Single,Bachelors degree,Business & Financial,$50000 - $62499,less1,gt8,gt8,gt8,4~8
18765,Female,50plus,Single,Graduate degree (Masters or Doctorate),Education&Training&Library,$87500 - $99999,1~3,1~3,less1,1~3,less1
11739,Male,26,Married partner,Bachelors degree,Computer & Mathematical,$62500 - $74999,never,less1,less1,gt8,1~3
16933,Female,41,Married partner,Graduate degree (Masters or Doctorate),Business & Financial,$75000 - $87499,less1,1~3,gt8,4~8,less1
14728,Male,below21,Single,Some college - no degree,Student,$87500 - $99999,never,4~8,,4~8,less1
22349,Female,31,Single,Bachelors degree,Education&Training&Library,$25000 - $37499,less1,4~8,less1,4~8,1~3
20524,Female,50plus,Married partner,Bachelors degree,Unemployed,$87500 - $99999,never,4~8,1~3,4~8,1~3
12077,Female,36,Divorced,Graduate degree (Masters or Doctorate),Student,$12500 - $24999,never,gt8,gt8,gt8,1~3
12630,Male,46,Married partner,Bachelors degree,Management,$100000 or More,4~8,never,4~8,4~8,1~3
11351,Male,26,Unmarried partner,Some college - no degree,Sales & Related,$50000 - $62499,1~3,4~8,gt8,1~3,1~3
10974,Female,36,Married partner,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$87500 - $99999,less1,less1,1~3,4~8,less1
19421,Female,50plus,Divorced,Some college - no degree,Unemployed,$37500 - $49999,never,never,4~8,1~3,less1
14447,Male,below21,Unmarried partner,Some college - no degree,Student,$12500 - $24999,less1,gt8,4~8,1~3,less1
22578,Male,21,Single,Some college - no degree,Student,$12500 - $24999,never,never,1~3,1~3,less1
10966,Male,21,Married partner,Bachelors degree,Architecture & Engineering,$75000 - $87499,less1,less1,1~3,4~8,less1
17641,Male,50plus,Married partner,Associates degree,Retired,$37500 - $49999,never,never,4~8,4~8,never
17828,Male,21,Single,Bachelors degree,Unemployed,$100000 or More,less1,4~8,1~3,less1,less1
15193,Female,50plus,Unmarried partner,Some college - no degree,Management,$37500 - $49999,never,never,4~8,1~3,less1
19684,Male,21,Single,Some college - no degree,Student,$62500 - $74999,never,never,4~8,1~3,1~3
16383,Female,26,Unmarried partner,Bachelors degree,Management,$62500 - $74999,1~3,gt8,gt8,gt8,gt8
19465,Male,50plus,Unmarried partner,High School Graduate,Retired,$50000 - $62499,less1,less1,4~8,1~3,less1
11551,Female,21,Single,Bachelors degree,Arts Design Entertainment Sports & Media,$100000 or More,less1,less1,1~3,1~3,1~3
19123,Female,21,Married partner,Some college - no degree,Student,Less than $12500,less1,gt8,4~8,1~3,1~3
14599,Male,36,Married partner,Graduate degree (Masters or Doctorate),Education&Training&Library,$100000 or More,never,never,1~3,1~3,less1
20086,Female,31,Single,Associates degree,Arts Design Entertainment Sports & Media,$75000 - $87499,never,less1,4~8,1~3,1~3
20005,Female,36,Divorced,Bachelors degree,Sales & Related,$12500 - $24999,never,less1,1~3,less1,never
11926,Female,31,Single,Bachelors degree,Transportation & Material Moving,$25000 - $37499,less1,1~3,4~8,gt8,less1
22093,Female,21,Unmarried partner,Some college - no degree,Office & Administrative Support,$25000 - $37499,never,never,1~3,never,never
17401,Male,46,Married partner,Graduate degree (Masters or Doctorate),Management,$87500 - $99999,less1,1~3,1~3,less1,1~3
19550,Female,below21,Unmarried partner,Some college - no degree,Student,$100000 or More,less1,1~3,less1,1~3,less1
13850,Female,21,Single,Some college - no degree,Sales & Related,$12500 - $24999,never,4~8,4~8,4~8,never
12776,Female,50plus,Married partner,Bachelors degree,Education&Training&Library,$50000 - $62499,never,never,less1,less1,less1
21387,Female,21,Married partner,Associates degree,Unemployed,$50000 - $62499,never,1~3,1~3,1~3,1~3
11421,Female,36,Married partner,Bachelors degree,Education&Training&Library,$87500 - $99999,less1,gt8,4~8,1~3,less1
11036,Male,50plus,Unmarried partner,Bachelors degree,Retired,$100000 or More,never,never,1~3,gt8,never
18477,Female,50plus,Single,Graduate degree (Masters or Doctorate),Business & Financial,$37500 - $49999,less1,gt8,1~3,1~3,1~3
15511,Male,21,Unmarried partner,Some college - no degree,Education&Training&Library,$25000 - $37499,4~8,less1,1~3,less1,never
20189,Female,50plus,Widowed,Some college - no degree,Food Preparation & Serving Related,Less than $12500,never,never,1~3,4~8,less1
11449,Female,46,Single,Some college - no degree,Sales & Related,$25000 - $37499,never,never,1~3,less1,less1
16809,Male,26,Unmarried partner,Some college - no degree,Unemployed,$12500 - $24999,never,less1,1~3,4~8,less1
12088,Female,36,Divorced,Graduate degree (Masters or Doctorate),Student,$12500 - $24999,never,gt8,gt8,gt8,1~3
20589,Female,31,Married partner,Bachelors degree,Unemployed,$37500 - $49999,less1,4~8,4~8,gt8,1~3
17316,Female,26,Single,Bachelors degree,Office & Administrative Support,$87500 - $99999,gt8,less1,1~3,1~3,1~3
21645,Male,21,Single,Some college - no degree,Student,Less than $12500,less1,less1,less1,1~3,1~3
16600,Male,36,Married partner,Associates degree,Management,$87500 - $99999,never,,less1,less1,never
