ID,weather,time,coupon,expiration,Y
19943,Snowy,7AM,Carry out & Take away,1d,1
18765,Snowy,10AM,Carry out & Take away,1d,0
11739,Sunny,7AM,Restaurant(20-50),1d,1
16933,Snowy,6PM,Bar,1d,0
14728,Sunny,6PM,Coffee House,1d,1
22349,Sunny,10PM,Bar,1d,0
20524,Sunny,10PM,Restaurant(20-50),1d,0
12077,Sunny,2PM,Coffee House,1d,1
12630,Sunny,6PM,Restaurant(<20),2h,0
11351,Sunny,2PM,Coffee House,1d,1
10974,Sunny,2PM,Carry out & Take away,1d,1
19421,Sunny,7AM,Restaurant(<20),1d,1
14447,Sunny,6PM,Restaurant(<20),2h,1
22578,Sunny,6PM,Carry out & Take away,1d,1
10966,Sunny,7AM,Restaurant(<20),1d,0
17641,Sunny,10AM,Coffee House,1d,1
17828,Sunny,6PM,Carry out & Take away,2h,1
15193,Sunny,10AM,Bar,1d,0
19684,Snowy,7AM,Carry out & Take away,1d,0
16383,Sunny,7AM,Carry out & Take away,1d,0
19465,Snowy,7AM,Carry out & Take away,1d,0
11551,Sunny,2PM,Coffee House,1d,1
19123,Sunny,6PM,Bar,2h,0
14599,Sunny,6PM,Bar,2h,0
20086,Sunny,6PM,Restaurant(20-50),1d,0
20005,Rainy,7AM,Carry out & Take away,2h,1
11926,Sunny,2PM,Restaurant(<20),1d,1
22093,Sunny,10AM,Restaurant(20-50),1d,0
17401,Rainy,10PM,Bar,2h,1
19550,Rainy,7AM,Carry out & Take away,2h,0
13850,Sunny,2PM,Coffee House,1d,0
12776,Sunny,7AM,Restaurant(<20),1d,1
21387,Sunny,7AM,Restaurant(20-50),2h,0
11421,Sunny,10AM,Carry out & Take away,2h,0
11036,Sunny,10AM,Carry out & Take away,2h,1
18477,Sunny,6PM,Coffee House,1d,1
15511,Sunny,6PM,Coffee House,1d,0
20189,Rainy,10PM,Restaurant(20-50),2h,0
11449,Sunny,6PM,Restaurant(20-50),1d,1
16809,Rainy,10PM,Bar,1d,0
12088,Sunny,6PM,Coffee House,2h,0
20589,Rainy,7AM,Bar,1d,0
17316,Sunny,10AM,Coffee House,1d,0
21645,Rainy,10PM,Coffee House,2h,1
16600,Sunny,7AM,Coffee House,1d,1
20013,Sunny,10AM,Restaurant(<20),2h,1
17827,Sunny,10AM,Coffee House,1d,1
10811,Sunny,10AM,Carry out & Take away,2h,1
21476,Sunny,10PM,Bar,1d,1
17745,Sunny,6PM,Coffee House,1d,0
17649,Sunny,10PM,Restaurant(<20),1d,0
17439,Snowy,6PM,Bar,1d,0
14567,Sunny,10AM,Bar,1d,0
13448,Sunny,2PM,Restaurant(<20),1d,1
15377,Sunny,6PM,Coffee House,1d,1
22148,Rainy,7AM,Carry out & Take away,1d,1
15753,Sunny,6PM,Coffee House,1d,1
13573,Sunny,6PM,Coffee House,2h,0
17922,Rainy,7AM,Restaurant(<20),2h,1
15039,Sunny,10AM,Restaurant(<20),1d,1
17549,Rainy,7AM,Restaurant(<20),2h,0
19441,Rainy,7AM,Carry out & Take away,2h,0
17175,Sunny,6PM,Coffee House,2h,1
19524,Sunny,10PM,Restaurant(20-50),1d,1
11468,Sunny,2PM,Restaurant(<20),1d,1
14971,Sunny,6PM,Restaurant(<20),2h,0
19709,Sunny,10PM,Coffee House,1d,1
20072,Sunny,7AM,Coffee House,1d,1
22487,Sunny,10AM,Restaurant(20-50),1d,1
14871,Sunny,7AM,Carry out & Take away,1d,1
17943,Rainy,7AM,Restaurant(<20),2h,1
19151,Rainy,6PM,Bar,1d,0
17703,Rainy,7AM,Restaurant(<20),2h,0
22194,Sunny,7AM,Restaurant(20-50),2h,0
18052,Sunny,6PM,Bar,2h,1
11566,Sunny,7AM,Coffee House,2h,0
14715,Sunny,10PM,Carry out & Take away,1d,1
15710,Sunny,6PM,Restaurant(<20),2h,1
20904,Sunny,6PM,Restaurant(<20),2h,1
12619,Sunny,6PM,Coffee House,2h,1
16779,Rainy,6PM,Carry out & Take away,1d,1
13453,Sunny,2PM,Coffee House,2h,1
18419,Rainy,2PM,Restaurant(<20),2h,0
16428,Sunny,7AM,Coffee House,1d,1
21774,Rainy,7AM,Carry out & Take away,1d,0
16969,Sunny,6PM,Coffee House,1d,1
17154,Sunny,10AM,Coffee House,1d,1
10727,Sunny,2PM,Coffee House,1d,0
16591,Sunny,6PM,Coffee House,1d,0
11260,Sunny,10AM,Coffee House,2h,0
22469,Rainy,10PM,Coffee House,2h,1
21926,Rainy,7AM,Restaurant(<20),2h,0
21778,Sunny,7AM,Restaurant(20-50),2h,1
21016,Sunny,10PM,Bar,2h,1
15091,Sunny,6PM,Coffee House,1d,1
17632,Snowy,2PM,Coffee House,2h,1
13189,Sunny,2PM,Coffee House,1d,0
16260,Sunny,2PM,Restaurant(<20),2h,1
18440,Snowy,10PM,Carry out & Take away,1d,1
14217,Sunny,10AM,Bar,1d,1
12016,Sunny,10AM,Bar,2h,0
15127,Sunny,10AM,Bar,1d,0
15873,Sunny,10AM,Bar,1d,0
12399,Sunny,6PM,Bar,1d,0
17126,Snowy,7AM,Restaurant(<20),2h,0
10398,Sunny,2PM,Carry out & Take away,1d,1
16446,Sunny,7AM,Restaurant(20-50),2h,0
12514,Sunny,7AM,Restaurant(<20),1d,1
15014,Sunny,6PM,Restaurant(<20),1d,1
14584,Sunny,7AM,Coffee House,2h,1
10612,Sunny,10AM,Coffee House,2h,1
16855,Sunny,6PM,Bar,2h,0
19420,Sunny,7AM,Coffee House,1d,0
13282,Sunny,10AM,Coffee House,2h,1
20206,Sunny,10AM,Coffee House,2h,0
10205,Sunny,10AM,Coffee House,2h,0
20724,Sunny,10PM,Coffee House,1d,1
21684,Rainy,7AM,Restaurant(<20),2h,1
12030,Sunny,10AM,Coffee House,2h,1
17259,Snowy,7AM,Restaurant(20-50),1d,0
16681,Sunny,7AM,Coffee House,1d,1
19109,Snowy,7AM,Carry out & Take away,1d,1
19542,Rainy,6PM,Bar,1d,1
13860,Sunny,7AM,Coffee House,2h,0
20075,Snowy,7AM,Carry out & Take away,1d,0
11142,Sunny,7AM,Restaurant(<20),1d,0
15153,Sunny,2PM,Coffee House,1d,1
21785,Snowy,2PM,Restaurant(<20),1d,1
22672,Sunny,6PM,Carry out & Take away,2h,0
15540,Sunny,7AM,Carry out & Take away,1d,0
15657,Sunny,2PM,Coffee House,1d,1
16025,Sunny,7AM,Coffee House,1d,0
11920,Sunny,10AM,Coffee House,2h,1
15793,Sunny,2PM,Coffee House,2h,0
16579,Sunny,7AM,Carry out & Take away,1d,0
13546,Sunny,2PM,Coffee House,2h,1
12741,Sunny,2PM,Restaurant(<20),1d,1
16777,Snowy,7AM,Restaurant(<20),2h,0
17002,Sunny,2PM,Restaurant(20-50),2h,1
15319,Sunny,10PM,Carry out & Take away,1d,1
10645,Sunny,10AM,Coffee House,2h,1
20897,Sunny,6PM,Restaurant(<20),1d,1
18953,Sunny,7AM,Coffee House,1d,1
13000,Sunny,7AM,Restaurant(20-50),1d,1
12725,Sunny,6PM,Bar,1d,1
18301,Sunny,6PM,Coffee House,1d,1
15654,Sunny,10AM,Coffee House,2h,0
20301,Sunny,2PM,Coffee House,1d,0
21253,Snowy,7AM,Coffee House,1d,1
16070,Sunny,10AM,Bar,1d,0
17051,Rainy,10AM,Carry out & Take away,2h,0
11373,Sunny,2PM,Coffee House,1d,1
10025,Sunny,10AM,Carry out & Take away,2h,0
19614,Sunny,7AM,Bar,1d,0
11079,Sunny,10AM,Coffee House,2h,0
12837,Sunny,6PM,Coffee House,2h,0
15212,Sunny,7AM,Carry out & Take away,1d,1
14299,Sunny,10PM,Carry out & Take away,1d,1
10125,Sunny,6PM,Coffee House,2h,0
13652,Sunny,2PM,Carry out & Take away,1d,1
22268,Sunny,10AM,Restaurant(<20),2h,0
17637,Sunny,6PM,Bar,2h,0
18557,Rainy,7AM,Restaurant(<20),2h,0
21344,Sunny,6PM,Restaurant(<20),2h,1
10344,Sunny,10AM,Coffee House,2h,1
17241,Snowy,6PM,Bar,1d,0
17773,Sunny,10AM,Coffee House,1d,1
12620,Sunny,7AM,Coffee House,2h,1
13382,Sunny,2PM,Restaurant(<20),1d,1
22370,Sunny,6PM,Restaurant(<20),2h,0
16182,Sunny,6PM,Coffee House,1d,0
17396,Sunny,10AM,Coffee House,1d,0
20111,Sunny,6PM,Restaurant(<20),1d,0
20768,Sunny,10PM,Restaurant(20-50),1d,0
14800,Sunny,10PM,Bar,1d,1
13411,Sunny,10AM,Coffee House,2h,1
22338,Sunny,10PM,Bar,2h,0
20037,Sunny,2PM,Restaurant(20-50),1d,1
21695,Sunny,10AM,Carry out & Take away,2h,0
14511,Sunny,6PM,Bar,2h,0
22322,Rainy,6PM,Carry out & Take away,1d,0
15241,Sunny,2PM,Coffee House,1d,0
21517,Snowy,7AM,Bar,1d,0
17022,Sunny,2PM,Restaurant(20-50),2h,0
18687,Sunny,6PM,Bar,2h,0
13628,Sunny,2PM,Coffee House,1d,1
21897,Snowy,10AM,Restaurant(<20),1d,1
10487,Sunny,6PM,Restaurant(20-50),1d,0
13556,Sunny,7AM,Restaurant(<20),1d,1
16209,Sunny,7AM,Coffee House,2h,0
21962,Sunny,10AM,Restaurant(<20),2h,1
17697,Snowy,2PM,Coffee House,2h,1
13287,Sunny,6PM,Coffee House,2h,0
14399,Sunny,10PM,Carry out & Take away,1d,0
13675,Sunny,10AM,Coffee House,2h,1
18276,Sunny,7AM,Restaurant(<20),1d,1
18195,Sunny,6PM,Coffee House,1d,0
11503,Sunny,10AM,Carry out & Take away,2h,0
13111,Sunny,7AM,Carry out & Take away,2h,1
16830,Sunny,6PM,Coffee House,2h,1
16973,Snowy,7AM,Restaurant(20-50),1d,0
16513,Sunny,7AM,Coffee House,2h,1
14660,Sunny,10AM,Coffee House,1d,1
12966,Sunny,2PM,Carry out & Take away,1d,0
11001,Sunny,2PM,Restaurant(<20),1d,0
21986,Sunny,10PM,Restaurant(20-50),1d,1
19521,Snowy,10PM,Restaurant(<20),2h,0
16275,Sunny,7AM,Coffee House,2h,1
11363,Sunny,7AM,Coffee House,2h,0
12564,Sunny,2PM,Coffee House,1d,0
13517,Sunny,2PM,Coffee House,2h,1
12392,Sunny,2PM,Carry out & Take away,1d,1
15312,Sunny,6PM,Restaurant(<20),1d,1
19950,Sunny,10AM,Carry out & Take away,1d,1
17111,Sunny,10PM,Restaurant(<20),2h,0
12785,Sunny,2PM,Restaurant(<20),1d,1
22018,Snowy,7AM,Bar,1d,1
12326,Sunny,10AM,Coffee House,2h,0
15640,Sunny,10PM,Carry out & Take away,1d,0
20583,Rainy,6PM,Bar,1d,0
12449,Sunny,7AM,Carry out & Take away,2h,1
16154,Sunny,6PM,Restaurant(20-50),2h,0
21965,Sunny,10PM,Restaurant(20-50),2h,1
10088,Sunny,2PM,Restaurant(<20),1d,0
14159,Sunny,2PM,Coffee House,2h,0
13699,Sunny,10AM,Bar,2h,1
17284,Sunny,6PM,Coffee House,2h,0
17417,Sunny,6PM,Coffee House,2h,0
14523,Sunny,10AM,Bar,1d,0
15376,Sunny,6PM,Coffee House,1d,1
21704,Sunny,6PM,Carry out & Take away,1d,1
12762,Sunny,2PM,Carry out & Take away,1d,1
19539,Sunny,10PM,Restaurant(<20),1d,1
21009,Rainy,7AM,Carry out & Take away,1d,0
16637,Sunny,7AM,Coffee House,1d,1
14252,Sunny,10PM,Carry out & Take away,1d,0
17355,Snowy,10AM,Carry out & Take away,1d,1
20210,Snowy,2PM,Bar,1d,0
14563,Sunny,7AM,Coffee House,2h,1
12375,Sunny,7AM,Bar,1d,1
10059,Sunny,6PM,Coffee House,2h,0
12258,Sunny,6PM,Restaurant(<20),2h,1
13964,Sunny,2PM,Coffee House,2h,1
13181,Sunny,7AM,Bar,1d,0
21493,Rainy,7AM,Carry out & Take away,1d,1
19662,Rainy,7AM,Bar,1d,0
22099,Snowy,10PM,Coffee House,2h,0
18995,Sunny,7AM,Bar,1d,0
18240,Sunny,10PM,Restaurant(<20),2h,1
19571,Sunny,7AM,Bar,1d,0
19731,Sunny,2PM,Restaurant(20-50),1d,1
12852,Sunny,6PM,Coffee House,2h,0
18936,Sunny,10PM,Carry out & Take away,1d,1
21855,Sunny,6PM,Carry out & Take away,2h,1
11032,Sunny,7AM,Restaurant(<20),1d,1
14964,Sunny,2PM,Restaurant(<20),2h,1
18300,Sunny,2PM,Restaurant(20-50),2h,1
22313,Rainy,6PM,Bar,2h,0
19385,Rainy,10PM,Restaurant(20-50),2h,0
19651,Sunny,10PM,Restaurant(<20),1d,0
12804,Sunny,2PM,Coffee House,1d,1
17455,Rainy,7AM,Restaurant(<20),2h,0
19031,Sunny,10PM,Restaurant(<20),1d,1
14742,Sunny,10AM,Bar,1d,0
22439,Sunny,10PM,Bar,1d,0
10994,Sunny,2PM,Coffee House,1d,0
13418,Sunny,6PM,Restaurant(20-50),1d,1
18402,Sunny,6PM,Bar,2h,0
20958,Sunny,10PM,Restaurant(20-50),1d,1
11852,Sunny,7AM,Coffee House,2h,1
16044,Sunny,7AM,Coffee House,2h,0
12423,Sunny,6PM,Coffee House,2h,1
18568,Sunny,10PM,Restaurant(<20),2h,1
15699,Sunny,2PM,Restaurant(<20),2h,1
13713,Sunny,10AM,Coffee House,2h,1
10704,Sunny,6PM,Restaurant(<20),2h,1
21496,Sunny,7AM,Restaurant(20-50),2h,0
22083,Snowy,7AM,Coffee House,1d,1
18352,Rainy,10AM,Carry out & Take away,2h,1
11678,Sunny,10AM,Coffee House,2h,1
21350,Rainy,2PM,Carry out & Take away,2h,1
11547,Sunny,10AM,Bar,1d,1
13014,Sunny,2PM,Restaurant(<20),1d,1
13840,Sunny,7AM,Restaurant(20-50),1d,0
13808,Sunny,10AM,Restaurant(20-50),1d,0
16736,Sunny,10PM,Coffee House,1d,1
18508,Sunny,6PM,Carry out & Take away,2h,1
12990,Sunny,6PM,Coffee House,2h,0
20426,Sunny,2PM,Restaurant(20-50),1d,1
12625,Sunny,2PM,Restaurant(<20),1d,1
17196,Rainy,10PM,Bar,1d,0
16731,Sunny,7AM,Bar,1d,0
10181,Sunny,2PM,Coffee House,2h,1
11309,Sunny,2PM,Carry out & Take away,1d,1
13617,Sunny,6PM,Coffee House,2h,0
19676,Sunny,6PM,Restaurant(<20),1d,1
22051,Sunny,6PM,Restaurant(<20),2h,1
14753,Sunny,6PM,Coffee House,2h,0
21706,Snowy,10PM,Coffee House,2h,0
13031,Sunny,2PM,Coffee House,2h,0
21727,Sunny,6PM,Restaurant(20-50),1d,1
14306,Sunny,10AM,Coffee House,2h,1
10005,Sunny,6PM,Restaurant(<20),2h,1
16609,Sunny,10PM,Restaurant(20-50),1d,1
10591,Sunny,10AM,Bar,1d,1
17063,Sunny,10AM,Coffee House,1d,1
11069,Sunny,6PM,Bar,1d,1
20031,Snowy,7AM,Carry out & Take away,1d,1
20476,Sunny,6PM,Restaurant(<20),1d,1
16858,Snowy,6PM,Coffee House,1d,0
21629,Snowy,10PM,Coffee House,2h,0
17276,Snowy,10PM,Restaurant(20-50),2h,0
19982,Sunny,7AM,Bar,1d,0
15183,Sunny,10PM,Restaurant(<20),2h,0
19480,Rainy,6PM,Bar,1d,0
18553,Snowy,6PM,Coffee House,1d,0
15206,Sunny,6PM,Restaurant(<20),2h,0
11008,Sunny,7AM,Restaurant(20-50),1d,0
21287,Sunny,6PM,Carry out & Take away,2h,1
11153,Sunny,10AM,Bar,2h,0
10602,Sunny,6PM,Bar,1d,1
15722,Sunny,6PM,Restaurant(<20),1d,1
21928,Snowy,7AM,Coffee House,1d,1
11991,Sunny,2PM,Carry out & Take away,1d,1
11217,Sunny,10AM,Bar,1d,1
20780,Snowy,2PM,Restaurant(<20),1d,1
20645,Snowy,2PM,Bar,1d,0
11780,Sunny,6PM,Coffee House,2h,1
11653,Sunny,7AM,Restaurant(<20),1d,0
14208,Sunny,6PM,Restaurant(<20),2h,1
18505,Snowy,10PM,Carry out & Take away,1d,1
21649,Sunny,10PM,Restaurant(20-50),1d,0
10065,Sunny,7AM,Coffee House,2h,0
19117,Sunny,10PM,Restaurant(<20),1d,0
15271,Sunny,6PM,Coffee House,1d,1
17991,Sunny,7AM,Restaurant(<20),1d,1
18560,Sunny,7AM,Restaurant(<20),1d,1
19694,Sunny,6PM,Restaurant(<20),1d,1
17912,Sunny,10PM,Restaurant(<20),1d,1
22088,Sunny,10PM,Bar,2h,1
18212,Sunny,10AM,Restaurant(<20),1d,1
15090,Sunny,6PM,Coffee House,1d,0
16172,Sunny,2PM,Restaurant(<20),2h,1
13369,Sunny,6PM,Restaurant(<20),2h,1
10568,Sunny,10AM,Coffee House,2h,1
20061,Rainy,10AM,Coffee House,1d,0
12527,Sunny,2PM,Restaurant(<20),1d,0
21209,Snowy,7AM,Restaurant(<20),1d,1
15408,Sunny,7AM,Coffee House,2h,0
18162,Sunny,6PM,Coffee House,1d,0
18954,Rainy,7AM,Bar,1d,0
10565,Sunny,7AM,Restaurant(<20),1d,1
