ID,destination,passanger,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp
19943,Work,Alone,1,0,1,0
18765,No Urgent Place,Friend(s),1,0,0,1
11739,Work,Alone,1,0,0,1
16933,No Urgent Place,Kid(s),1,0,0,1
14728,Home,Alone,0,0,0,1
22349,No Urgent Place,Friend(s),1,0,0,1
20524,Home,Alone,1,0,0,1
12077,No Urgent Place,Friend(s),1,0,0,1
12630,No Urgent Place,Friend(s),1,0,0,1
11351,No Urgent Place,Friend(s),1,0,0,1
10974,No Urgent Place,Friend(s),1,0,0,1
19421,Work,Alone,0,0,0,1
14447,Home,Alone,0,0,1,0
22578,Home,Alone,0,0,0,1
10966,Work,Alone,0,0,0,1
17641,No Urgent Place,Alone,1,0,0,1
17828,Home,Alone,1,0,1,0
15193,No Urgent Place,Alone,0,0,0,1
19684,Work,Alone,1,0,1,0
16383,Work,Alone,0,0,1,0
19465,Work,Alone,1,0,1,0
11551,No Urgent Place,Friend(s),1,0,0,1
19123,Home,Kid(s),1,0,0,1
14599,No Urgent Place,Partner,1,0,0,1
20086,Home,Alone,0,0,1,0
20005,Work,Alone,1,0,1,0
11926,No Urgent Place,Friend(s),1,0,0,1
22093,No Urgent Place,Partner,0,0,0,1
17401,No Urgent Place,Friend(s),1,0,0,1
19550,Work,Alone,1,0,1,0
13850,No Urgent Place,Friend(s),1,0,0,1
12776,Work,Alone,0,0,0,1
21387,Work,Alone,0,0,1,0
11421,No Urgent Place,Kid(s),1,0,0,1
11036,No Urgent Place,Friend(s),1,0,0,1
18477,No Urgent Place,Friend(s),0,0,0,1
15511,Home,Alone,0,0,1,0
20189,No Urgent Place,Friend(s),1,0,0,1
11449,Home,Alone,1,0,0,1
16809,Home,Partner,1,0,0,1
12088,Home,Alone,0,0,0,1
20589,Work,Alone,1,1,0,1
17316,No Urgent Place,Alone,0,0,0,1
21645,Home,Alone,0,0,1,0
16600,Work,Alone,1,0,1,0
20013,No Urgent Place,Friend(s),1,0,0,1
17827,No Urgent Place,Alone,0,0,0,1
10811,No Urgent Place,Friend(s),1,0,0,1
21476,No Urgent Place,Friend(s),1,0,0,1
17745,Home,Partner,0,0,1,0
17649,No Urgent Place,Partner,1,0,0,1
17439,No Urgent Place,Kid(s),1,0,0,1
14567,No Urgent Place,Alone,0,0,0,1
13448,No Urgent Place,Alone,0,0,0,1
15377,Home,Alone,0,0,0,1
22148,Work,Alone,0,0,0,1
15753,Home,Alone,0,0,0,1
13573,Home,Alone,0,0,0,1
17922,Work,Alone,1,1,0,1
15039,No Urgent Place,Kid(s),1,0,0,1
17549,Work,Alone,1,1,0,1
19441,Work,Alone,1,0,1,0
17175,No Urgent Place,Alone,0,0,0,1
19524,Home,Alone,1,0,0,1
11468,No Urgent Place,Kid(s),1,0,0,1
14971,Home,Alone,0,0,1,0
19709,No Urgent Place,Friend(s),1,0,0,1
20072,Work,Alone,0,0,1,0
22487,No Urgent Place,Partner,0,0,0,1
14871,Work,Alone,1,1,0,1
17943,Work,Alone,1,1,0,1
19151,Home,Alone,1,1,0,1
17703,Work,Alone,1,1,0,1
22194,Work,Alone,0,0,1,0
18052,Home,Alone,0,0,1,0
11566,Work,Alone,1,0,0,1
14715,Home,Alone,0,0,1,0
